image_index,sample,num_atoms,num_vacancies,percent_vacancy,file_name
0,9_1,1852,25,1.349892008639309,../images/9_1HF/1546_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
1,9_1,1934,25,1.2926577042399172,../images/9_1HF/1526_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
2,9_1,2066,21,1.016456921587609,../images/9_1HF/1607_250408_MXenes_6mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
3,9_1,1856,21,1.1314655172413792,../images/9_1HF/1548_250408_MXenes_6mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
4,9_1,1894,31,1.6367476240760295,../images/9_1HF/1542_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
5,9_1,2211,22,0.9950248756218906,../images/9_1HF/1802_240903_Ti3C2_HF9p1_17.5_Mx_STEM_HAADF_14.5Mx_20x1.0us_1024px_98mmCL_150umC2_HAADF_n2_registered.tif
6,9_1,2251,28,1.2438916037316747,../images/9_1HF/1554_250408_MXenes_6mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
7,9_1,1889,28,1.482265749073584,../images/9_1HF/1604_250408_MXenes_6mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
8,9_1,2111,42,1.989578398863098,../images/9_1HF/1536_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
9,9_1,1908,44,2.3060796645702304,../images/9_1HF/1521_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
10,9_1,2120,34,1.6037735849056605,../images/9_1HF/1657_240903_Ti3C2_HF9p1_8.70_Mx_STEM_HAADF_7.2Mx_20x0.5us_1024px_98mmCL_150umC2_HAADF_n2_registered.tif
11,9_1,2031,32,1.5755785327424914,../images/9_1HF/1627_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
12,9_1,1824,39,2.138157894736842,../images/9_1HF/1558_250408_MXenes_6mL_14.5Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
13,9_1,1935,33,1.7054263565891472,../images/9_1HF/1616_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
14,9_1,2120,37,1.7452830188679245,../images/9_1HF/1725_240903_Ti3C2_HF9p1_17.5_Mx_STEM_HAADF_14.5Mx_20x0.5us_1024px_98mmCL_150umC2_HAADF_n2_registered.tif
15,9_1,1720,21,1.2209302325581395,../images/9_1HF/1537_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
16,9_1,2109,24,1.1379800853485065,../images/9_1HF/1605_250408_MXenes_6mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
17,9_1,2001,7,0.3498250874562719,../images/9_1HF/1631_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
18,9_1,1810,28,1.5469613259668509,../images/9_1HF/1515_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
19,9_1,2162,36,1.6651248843663276,../images/9_1HF/1622_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
20,9_1,2133,36,1.6877637130801688,../images/9_1HF/1544_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
21,9_1,1859,24,1.2910166756320602,../images/9_1HF/1559_250408_MXenes_6mL_14.5Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
22,9_1,2171,34,1.566098572086596,../images/9_1HF/1629_250408_MXenes_6mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
