image_index,sample,num_atoms,num_vacancies,percent_vacancy,file_name
0,5,1843,18,0.9766684753119913,../images/5HF/1657_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
1,5,2145,11,0.5128205128205128,../images/5HF/1425_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
2,5,1936,13,0.6714876033057852,../images/5HF/1542_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
3,5,1995,19,0.9523809523809523,../images/5HF/1139_250408_MXenes_3mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
4,5,2127,11,0.5171603196991067,../images/5HF/1136_250408_MXenes_3mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
5,5,2179,16,0.7342817806333181,../images/5HF/1158_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
6,5,1602,27,1.6853932584269662,../images/5HF/1157_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
7,5,1626,21,1.2915129151291513,../images/5HF/1421_250408_MXenes_3mL_14.5Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
8,5,1981,44,2.221100454316002,../images/5HF/1418_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
9,5,1852,40,2.159827213822894,../images/5HF/1353_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
10,5,2107,27,1.2814428096820123,../images/5HF/1149_250408_MXenes_3mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
11,5,1477,23,1.5572105619498984,../images/5HF/1426_250408_MXenes_3mL_14.5Mx_20x1.0us_1024px_98mmCL_HAADF_n2_reg.tif
12,5,2074,24,1.1571841851494695,../images/5HF/1422_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
13,5,2091,20,0.9564801530368244,../images/5HF/1627_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
14,5,2255,66,2.926829268292683,../images/5HF/1354_240909_Ti3C2_5HF_17.5_Mx_STEM_HAADF_14.5Mx_30x0.5us_1024px_98mmCL_70umC2_HAADF_n4_registered.tif
15,5,1476,13,0.8807588075880759,../images/5HF/1650_250618_MXene_5HF_10.0Mx_30x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
16,5,2054,43,2.0934761441090557,../images/5HF/1624_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
17,5,1977,25,1.2645422357106728,../images/5HF/1638_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
18,5,1742,15,0.8610792192881745,../images/5HF/1150_250408_MXenes_3mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n2_reg.tif
19,5,1666,24,1.440576230492197,../images/5HF/1416_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
20,5,2011,29,1.442068622575833,../images/5HF/1653_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
21,5,1949,25,1.2827090815802975,../images/5HF/1148_250408_MXenes_3mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
22,5,2130,45,2.112676056338028,../images/5HF/1147_250408_MXenes_3mL_10.0Mx_20x0.5us_1024px_98mmCL_HAADF_n3_reg.tif
23,5,1620,27,1.6666666666666667,../images/5HF/1256_240909_Ti3C2_5HF_12.5_Mx_STEM_HAADF_10.0Mx_30x0.5us_1024px_98mmCL_70umC2_HAADF_n4_registered.tif
24,5,2257,57,2.525476295968099,../images/5HF/1655_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
25,5,2028,30,1.4792899408284024,../images/5HF/1634_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
26,5,2009,37,1.8417122946739672,../images/5HF/1549_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
27,5,2145,12,0.5594405594405595,../images/5HF/1155_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
28,5,1938,5,0.2579979360165119,../images/5HF/1631_250618_MXene_5HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
29,5,1488,18,1.2096774193548387,../images/5HF/1406_250408_MXenes_3mL_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
