image_index,sample,num_atoms,num_vacancies,percent_vacancy,file_name
0,12_5,2154,45,2.0891364902506964,../images/12_5HF/1053_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
1,12_5,2169,71,3.2733978792070078,../images/12_5HF/1114_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
2,12_5,2334,92,3.9417309340188518,../images/12_5HF/1108_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
3,12_5,2292,62,2.7050610820244327,../images/12_5HF/1132_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
4,12_5,2120,91,4.2924528301886795,../images/12_5HF/1058_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
5,12_5,2180,92,4.220183486238532,../images/12_5HF/1110_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
6,12_5,2158,69,3.19740500463392,../images/12_5HF/1104_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
7,12_5,2259,90,3.9840637450199203,../images/12_5HF/1129_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
8,12_5,2186,65,2.9734675205855443,../images/12_5HF/1135_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
9,12_5,2286,104,4.549431321084865,../images/12_5HF/1117_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
10,12_5,2100,43,2.0476190476190474,../images/12_5HF/1253_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
11,12_5,2156,44,2.0408163265306123,../images/12_5HF/1050_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
12,12_5,2141,50,2.335357309668379,../images/12_5HF/1048_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
13,12_5,2145,69,3.2167832167832167,../images/12_5HF/1047_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
14,12_5,1804,41,2.272727272727273,../images/12_5HF/1046_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg1046_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
15,12_5,2224,45,2.023381294964029,../images/12_5HF/1051_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
16,12_5,2123,84,3.9566650965614696,../images/12_5HF/1134_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
17,12_5,2222,61,2.7452745274527453,../images/12_5HF/1055_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
18,12_5,2176,75,3.4466911764705883,../images/12_5HF/1236_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
19,12_5,2151,84,3.905160390516039,../images/12_5HF/1112_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
20,12_5,2159,57,2.6401111625752662,../images/12_5HF/1101_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
21,12_5,2148,85,3.9571694599627563,../images/12_5HF/1115_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
22,12_5,2157,106,4.914232730644414,../images/12_5HF/1106_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
23,12_5,2291,142,6.198166739415103,../images/12_5HF/1109_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
24,12_5,2144,93,4.337686567164179,../images/12_5HF/1301_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
25,12_5,2150,92,4.27906976744186,../images/12_5HF/1059_241205_Ti3C2_12HF_10.0Mx_20x1.0us_1024px_98mmCL_HAADF_n3_reg.tif
